STATE,ANNUAL
GOIÁS,5422
GOIÁS,5393
GOIÁS,5694
GOIÁS,5427
GOIÁS,5476
GOIÁS,5409
GOIÁS,5579
GOIÁS,5741
GOIÁS,5451
GOIÁS,5451
GOIÁS,5490
GOIÁS,5760
GOIÁS,5760
GOIÁS,5760
GOIÁS,5762
GOIÁS,5478
GOIÁS,5744
GOIÁS,5453
GOIÁS,5474
GOIÁS,5499
GOIÁS,5462
GOIÁS,5497
GOIÁS,5534
GOIÁS,5392
GOIÁS,5439
GOIÁS,5755
GOIÁS,5616
GOIÁS,5452
GOIÁS,5458
GOIÁS,5459
GOIÁS,5701
GOIÁS,5439
GOIÁS,5413
GOIÁS,5551
GOIÁS,5582
GOIÁS,5451
GOIÁS,5455
GOIÁS,5467
GOIÁS,5748
GOIÁS,5480
GOIÁS,5499
GOIÁS,5430
GOIÁS,5472
GOIÁS,5681
GOIÁS,5379
GOIÁS,5459
GOIÁS,5683
GOIÁS,5647
GOIÁS,5442
GOIÁS,5662
MARANHÃO,5570
MARANHÃO,5533
MARANHÃO,5394
MARANHÃO,5257
MARANHÃO,5228
MARANHÃO,5543
MARANHÃO,5260
MARANHÃO,5456
MARANHÃO,5492
MARANHÃO,5522
MARANHÃO,5217
MARANHÃO,5271
MARANHÃO,5395
MARANHÃO,5217
MARANHÃO,5408
MARANHÃO,5670
MARANHÃO,5540
MARANHÃO,5195
MARANHÃO,5502
MARANHÃO,5157
MARANHÃO,5448
MARANHÃO,5459
MARANHÃO,5216
MARANHÃO,5447
MARANHÃO,5475
MARANHÃO,5515
MARANHÃO,5164
MARANHÃO,5145
MARANHÃO,5163
MARANHÃO,5349
MARANHÃO,5475
MARANHÃO,5647
MARANHÃO,5428
MARANHÃO,5519
MARANHÃO,5099
MARANHÃO,5156
MARANHÃO,5148
MARANHÃO,5144
MARANHÃO,5362
MARANHÃO,5452
MARANHÃO,5063
MARANHÃO,5377
MARANHÃO,5564
MARANHÃO,5075
MARANHÃO,5097
MARANHÃO,5335
MARANHÃO,5051
MARANHÃO,5077
MARANHÃO,5226
MARANHÃO,5303
MARANHÃO,5416
MARANHÃO,5534
MARANHÃO,5043
MARANHÃO,5044
MARANHÃO,5119
MARANHÃO,5335
MARANHÃO,5295
MARANHÃO,5320
MARANHÃO,5336
MARANHÃO,5360
MARANHÃO,4950
MARANHÃO,4971
MARANHÃO,4896
MARANHÃO,4926
MARANHÃO,5144
MARANHÃO,5220
MARANHÃO,5262
MARANHÃO,5336
MARANHÃO,5412
MARANHÃO,5582
MARANHÃO,5090
MARANHÃO,5224
MARANHÃO,5266
MARANHÃO,5294
MARANHÃO,5332
MARANHÃO,4862
MARANHÃO,4973
MARANHÃO,5254
MARANHÃO,5314
MARANHÃO,5494
MARANHÃO,5193
MARANHÃO,5198
MARANHÃO,5312
MARANHÃO,5096
MARANHÃO,5106
MARANHÃO,5134
MARANHÃO,5152
MARANHÃO,5204
MARANHÃO,5236
MARANHÃO,5236
MARANHÃO,5498
MARANHÃO,4817
MARANHÃO,4941
MARANHÃO,5265
MARANHÃO,5393
MARANHÃO,5066
MARANHÃO,5118
MARANHÃO,5229
MARANHÃO,5310
MARANHÃO,4893
MARANHÃO,5013
MARANHÃO,5069
MARANHÃO,5377
MARANHÃO,5592
MARANHÃO,5025
MARANHÃO,5218
